Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
SANTA ROSA DEL SUR,13688,BOLIVAR,SANTA ROSA DEL SUR - BOLIVAR,0
SANTA ROSALIA,99624,VICHADA,SANTA ROSALIA - VICHADA,0
SANTA SOFIA,15696,BOYACA,SANTA SOFIA - BOYACA,0
SANTACRUZ,52699,NARIÑO,SANTACRUZ - NARIÑO,0
SANTAFE DE ANTIOQUIA,05042,ANTIOQUIA,SANTAFE DE ANTIOQUIA - ANTIOQUIA,0
SANTANA,15686,BOYACA,SANTANA - BOYACA,0
SANTANDER DE QUILICHAO,19698,CAUCA,SANTANDER DE QUILICHAO - CAUCA,0
SANTIAGO,54680,NORTE DE SANTANDER,SANTIAGO - NORTE DE SANTANDER,1
SANTIAGO,86760,PUTUMAYO,SANTIAGO - PUTUMAYO,2
SANTIAGO DE TOLU,70820,SUCRE,SANTIAGO DE TOLU - SUCRE,0
SANTO DOMINGO,05690,ANTIOQUIA,SANTO DOMINGO - ANTIOQUIA,0
SANTO TOMAS,08685,ATLANTICO,SANTO TOMAS - ATLANTICO,0
SANTUARIO,66687,RISARALDA,SANTUARIO - RISARALDA,0
SAPUYES,52720,NARIÑO,SAPUYES - NARIÑO,0
SARAVENA,81736,ARAUCA,SARAVENA - ARAUCA,0
SARDINATA,54720,NORTE DE SANTANDER,SARDINATA - NORTE DE SANTANDER,0
SASAIMA,25718,CUNDINAMARCA,SASAIMA - CUNDINAMARCA,0
SATIVANORTE,15720,BOYACA,SATIVANORTE - BOYACA,0
SATIVASUR,15723,BOYACA,SATIVASUR - BOYACA,0
SEGOVIA,05736,ANTIOQUIA,SEGOVIA - ANTIOQUIA,0
SESQUILE,25736,CUNDINAMARCA,SESQUILE - CUNDINAMARCA,0
SEVILLA,76736,VALLE DEL CAUCA,SEVILLA - VALLE DEL CAUCA,0
SIACHOQUE,15740,BOYACA,SIACHOQUE - BOYACA,0
SIBATE,25740,CUNDINAMARCA,SIBATE - CUNDINAMARCA,0
SIBUNDOY,86749,PUTUMAYO,SIBUNDOY - PUTUMAYO,0
SILOS,54743,NORTE DE SANTANDER,SILOS - NORTE DE SANTANDER,0
SILVANIA,25743,CUNDINAMARCA,SILVANIA - CUNDINAMARCA,0
SILVIA,19743,CAUCA,SILVIA - CAUCA,0
SIMACOTA,68745,SANTANDER,SIMACOTA - SANTANDER,0
SIMIJACA,25745,CUNDINAMARCA,SIMIJACA - CUNDINAMARCA,0
SIMITI,13744,BOLIVAR,SIMITI - BOLIVAR,0
SINCELEJO,70001,SUCRE,SINCELEJO - SUCRE,0
SIPI,27745,CHOCO,SIPI - CHOCO,0
SITIONUEVO,47745,MAGDALENA,SITIONUEVO - MAGDALENA,0
SOACHA,25754,CUNDINAMARCA,SOACHA - CUNDINAMARCA,0
SOATA,15753,BOYACA,SOATA - BOYACA,0
SOCHA,15757,BOYACA,SOCHA - BOYACA,0
SOCORRO,68755,SANTANDER,SOCORRO - SANTANDER,0
SOCOTA,15755,BOYACA,SOCOTA - BOYACA,0
SOGAMOSO,15759,BOYACA,SOGAMOSO - BOYACA,0
SOLANO,18756,CAQUETA,SOLANO - CAQUETA,0
SOLEDAD,08758,ATLANTICO,SOLEDAD - ATLANTICO,0
SOLITA,18785,CAQUETA,SOLITA - CAQUETA,0
SOMONDOCO,15761,BOYACA,SOMONDOCO - BOYACA,0
SONSON,05756,ANTIOQUIA,SONSON - ANTIOQUIA,0
SOPETRAN,05761,ANTIOQUIA,SOPETRAN - ANTIOQUIA,0
SOPLAVIENTO,13760,BOLIVAR,SOPLAVIENTO - BOLIVAR,0
SOPO,25758,CUNDINAMARCA,SOPO - CUNDINAMARCA,0
SORA,15762,BOYACA,SORA - BOYACA,0
SORACA,15764,BOYACA,SORACA - BOYACA,0
SOTAQUIRA,15763,BOYACA,SOTAQUIRA - BOYACA,0
SOTARA,19760,CAUCA,SOTARA - CAUCA,0
SUAITA,68770,SANTANDER,SUAITA - SANTANDER,0
SUAN,08770,ATLANTICO,SUAN - ATLANTICO,0
SUAREZ,19780,CAUCA,SUAREZ - CAUCA,1
SUAREZ,73770,TOLIMA,SUAREZ - TOLIMA,2
SUAZA,41770,HUILA,SUAZA - HUILA,0
SUBACHOQUE,25769,CUNDINAMARCA,SUBACHOQUE - CUNDINAMARCA,0
SUCRE,19785,CAUCA,SUCRE - CAUCA,1
SUCRE,68773,SANTANDER,SUCRE - SANTANDER,2
SUCRE,70771,SUCRE,SUCRE - SUCRE,3
SUESCA,25772,CUNDINAMARCA,SUESCA - CUNDINAMARCA,0
SUPATA,25777,CUNDINAMARCA,SUPATA - CUNDINAMARCA,0
SUPIA,17777,CALDAS,SUPIA - CALDAS,0
SURATA,68780,SANTANDER,SURATA - SANTANDER,0
SUSA,25779,CUNDINAMARCA,SUSA - CUNDINAMARCA,0
SUSACON,15774,BOYACA,SUSACON - BOYACA,0
SUTAMARCHAN,15776,BOYACA,SUTAMARCHAN - BOYACA,0
SUTATAUSA,25781,CUNDINAMARCA,SUTATAUSA - CUNDINAMARCA,0
SUTATENZA,15778,BOYACA,SUTATENZA - BOYACA,0
TABIO,25785,CUNDINAMARCA,TABIO - CUNDINAMARCA,0
TADO,27787,CHOCO,TADO - CHOCO,0
TALAIGUA NUEVO,13780,BOLIVAR,TALAIGUA NUEVO - BOLIVAR,0
TAMALAMEQUE,20787,CESAR,TAMALAMEQUE - CESAR,0
TAMARA,85400,CASANARE,TAMARA - CASANARE,0
TAME,81794,ARAUCA,TAME - ARAUCA,0
TAMESIS,05789,ANTIOQUIA,TAMESIS - ANTIOQUIA,0
TAMINANGO,52786,NARIÑO,TAMINANGO - NARIÑO,0
TANGUA,52788,NARIÑO,TANGUA - NARIÑO,0
TARAIRA,97666,VAUPES,TARAIRA - VAUPES,0
TARAPACA,91798,AMAZONAS,TARAPACA - AMAZONAS,0
TARAZA,05790,ANTIOQUIA,TARAZA - ANTIOQUIA,0
TARQUI,41791,HUILA,TARQUI - HUILA,0
TARSO,05792,ANTIOQUIA,TARSO - ANTIOQUIA,0
TASCO,15790,BOYACA,TASCO - BOYACA,0
TAURAMENA,85410,CASANARE,TAURAMENA - CASANARE,0
TAUSA,25793,CUNDINAMARCA,TAUSA - CUNDINAMARCA,0
TELLO,41799,HUILA,TELLO - HUILA,0
TENA,25797,CUNDINAMARCA,TENA - CUNDINAMARCA,0
TENERIFE,47798,MAGDALENA,TENERIFE - MAGDALENA,0
TENJO,25799,CUNDINAMARCA,TENJO - CUNDINAMARCA,0
TENZA,15798,BOYACA,TENZA - BOYACA,0
TEORAMA,54800,NORTE DE SANTANDER,TEORAMA - NORTE DE SANTANDER,0
TERUEL,41801,HUILA,TERUEL - HUILA,0
TESALIA,41797,HUILA,TESALIA - HUILA,0
TIBACUY,25805,CUNDINAMARCA,TIBACUY - CUNDINAMARCA,0
TIBANA,15804,BOYACA,TIBANA - BOYACA,0
TIBASOSA,15806,BOYACA,TIBASOSA - BOYACA,0
TIBIRITA,25807,CUNDINAMARCA,TIBIRITA - CUNDINAMARCA,0
TIBU,54810,NORTE DE SANTANDER,TIBU - NORTE DE SANTANDER,0
TIERRALTA,23807,CORDOBA,TIERRALTA - CORDOBA,0
TIMANA,41807,HUILA,TIMANA - HUILA,0
TIMBIO,19807,CAUCA,TIMBIO - CAUCA,0
TIMBIQUI,19809,CAUCA,TIMBIQUI - CAUCA,0
TINJACA,15808,BOYACA,TINJACA - BOYACA,0
TIPACOQUE,15810,BOYACA,TIPACOQUE - BOYACA,0
TIQUISIO,13810,BOLIVAR,TIQUISIO - BOLIVAR,0
TITIRIBI,05809,ANTIOQUIA,TITIRIBI - ANTIOQUIA,0
TOCA,15814,BOYACA,TOCA - BOYACA,0
TOCAIMA,25815,CUNDINAMARCA,TOCAIMA - CUNDINAMARCA,0
TOCANCIPA,25817,CUNDINAMARCA,TOCANCIPA - CUNDINAMARCA,0
TOGÜI,15816,BOYACA,TOGÜI - BOYACA,0
TOLEDO,05819,ANTIOQUIA,TOLEDO - ANTIOQUIA,1
TOLEDO,54820,NORTE DE SANTANDER,TOLEDO - NORTE DE SANTANDER,2
TOLU VIEJO,70823,SUCRE,TOLU VIEJO - SUCRE,0
TONA,68820,SANTANDER,TONA - SANTANDER,0
TOPAGA,15820,BOYACA,TOPAGA - BOYACA,0
TOPAIPI,25823,CUNDINAMARCA,TOPAIPI - CUNDINAMARCA,0
TORIBIO,19821,CAUCA,TORIBIO - CAUCA,0
TORO,76823,VALLE DEL CAUCA,TORO - VALLE DEL CAUCA,0
TOTA,15822,BOYACA,TOTA - BOYACA,0
TOTORO,19824,CAUCA,TOTORO - CAUCA,0
TRINIDAD,85430,CASANARE,TRINIDAD - CASANARE,0
TRUJILLO,76828,VALLE DEL CAUCA,TRUJILLO - VALLE DEL CAUCA,0
TUBARA,08832,ATLANTICO,TUBARA - ATLANTICO,0
TULUA,76834,VALLE DEL CAUCA,TULUA - VALLE DEL CAUCA,0
TUNJA,15001,BOYACA,TUNJA - BOYACA,0
TUNUNGUA,15832,BOYACA,TUNUNGUA - BOYACA,0
TUQUERRES,52838,NARIÑO,TUQUERRES - NARIÑO,0
TURBACO,13836,BOLIVAR,TURBACO - BOLIVAR,0
TURBANA,13838,BOLIVAR,TURBANA - BOLIVAR,0
TURBO,05837,ANTIOQUIA,TURBO - ANTIOQUIA,0
TURMEQUE,15835,BOYACA,TURMEQUE - BOYACA,0
TUTA,15837,BOYACA,TUTA - BOYACA,0
TUTAZA,15839,BOYACA,TUTAZA - BOYACA,0
UBALA,25839,CUNDINAMARCA,UBALA - CUNDINAMARCA,0
UBAQUE,25841,CUNDINAMARCA,UBAQUE - CUNDINAMARCA,0
ULLOA,76845,VALLE DEL CAUCA,ULLOA - VALLE DEL CAUCA,0
UMBITA,15842,BOYACA,UMBITA - BOYACA,0
UNE,25845,CUNDINAMARCA,UNE - CUNDINAMARCA,0
UNGUIA,27800,CHOCO,UNGUIA - CHOCO,0
UNION PANAMERICANA,27810,CHOCO,UNION PANAMERICANA - CHOCO,0
URAMITA,05842,ANTIOQUIA,URAMITA - ANTIOQUIA,0
URIBE,50370,META,URIBE - META,0
URIBIA,44847,LA GUAJIRA,URIBIA - LA GUAJIRA,0
URRAO,05847,ANTIOQUIA,URRAO - ANTIOQUIA,0
URUMITA,44855,LA GUAJIRA,URUMITA - LA GUAJIRA,0
USIACURI,08849,ATLANTICO,USIACURI - ATLANTICO,0
UTICA,25851,CUNDINAMARCA,UTICA - CUNDINAMARCA,0
VALDIVIA,05854,ANTIOQUIA,VALDIVIA - ANTIOQUIA,0
VALENCIA,23855,CORDOBA,VALENCIA - CORDOBA,0
VALLE DE SAN JOSE,68855,SANTANDER,VALLE DE SAN JOSE - SANTANDER,0
VALLE DE SAN JUAN,73854,TOLIMA,VALLE DE SAN JUAN - TOLIMA,0
VALLE DEL GUAMUEZ,86865,PUTUMAYO,VALLE DEL GUAMUEZ - PUTUMAYO,0
VALLEDUPAR,20001,CESAR,VALLEDUPAR - CESAR,0
VALPARAISO,05856,ANTIOQUIA,VALPARAISO - ANTIOQUIA,1
VALPARAISO,18860,CAQUETA,VALPARAISO - CAQUETA,2
VEGACHI,05858,ANTIOQUIA,VEGACHI - ANTIOQUIA,0
VELEZ,68861,SANTANDER,VELEZ - SANTANDER,0
VENADILLO,73861,TOLIMA,VENADILLO - TOLIMA,0
VENECIA,05861,ANTIOQUIA,VENECIA - ANTIOQUIA,1
VENECIA,25506,CUNDINAMARCA,VENECIA - CUNDINAMARCA,2
VENTAQUEMADA,15861,BOYACA,VENTAQUEMADA - BOYACA,0
VERGARA,25862,CUNDINAMARCA,VERGARA - CUNDINAMARCA,0
VERSALLES,76863,VALLE DEL CAUCA,VERSALLES - VALLE DEL CAUCA,0
VETAS,68867,SANTANDER,VETAS - SANTANDER,0
VIANI,25867,CUNDINAMARCA,VIANI - CUNDINAMARCA,0
VICTORIA,17867,CALDAS,VICTORIA - CALDAS,0
VIGIA DEL FUERTE,05873,ANTIOQUIA,VIGIA DEL FUERTE - ANTIOQUIA,0
VIJES,76869,VALLE DEL CAUCA,VIJES - VALLE DEL CAUCA,0
VILLA CARO,54871,NORTE DE SANTANDER,VILLA CARO - NORTE DE SANTANDER,0
VILLA DE LEYVA,15407,BOYACA,VILLA DE LEYVA - BOYACA,0
VILLA DE SAN DIEGO DE UBATE,25843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE - CUNDINAMARCA,0
VILLA DEL ROSARIO,54874,NORTE DE SANTANDER,VILLA DEL ROSARIO - NORTE DE SANTANDER,0
VILLA RICA,19845,CAUCA,VILLA RICA - CAUCA,0
VILLAGARZON,86885,PUTUMAYO,VILLAGARZON - PUTUMAYO,0
VILLAGOMEZ,25871,CUNDINAMARCA,VILLAGOMEZ - CUNDINAMARCA,0
VILLAHERMOSA,73870,TOLIMA,VILLAHERMOSA - TOLIMA,0
VILLAMARIA,17873,CALDAS,VILLAMARIA - CALDAS,0
VILLANUEVA,13873,BOLIVAR,VILLANUEVA - BOLIVAR,1
VILLANUEVA,85440,CASANARE,VILLANUEVA - CASANARE,2
VILLANUEVA,44874,LA GUAJIRA,VILLANUEVA - LA GUAJIRA,3
VILLANUEVA,68872,SANTANDER,VILLANUEVA - SANTANDER,4
VILLAPINZON,25873,CUNDINAMARCA,VILLAPINZON - CUNDINAMARCA,0
VILLARRICA,73873,TOLIMA,VILLARRICA - TOLIMA,0
VILLAVICENCIO,50001,META,VILLAVICENCIO - META,0
VILLAVIEJA,41872,HUILA,VILLAVIEJA - HUILA,0
VILLETA,25875,CUNDINAMARCA,VILLETA - CUNDINAMARCA,0
VIOTA,25878,CUNDINAMARCA,VIOTA - CUNDINAMARCA,0
VIRACACHA,15879,BOYACA,VIRACACHA - BOYACA,0
VISTAHERMOSA,50711,META,VISTAHERMOSA - META,0
VITERBO,17877,CALDAS,VITERBO - CALDAS,0
YACOPI,25885,CUNDINAMARCA,YACOPI - CUNDINAMARCA,0
YACUANQUER,52885,NARIÑO,YACUANQUER - NARIÑO,0
YAGUARA,41885,HUILA,YAGUARA - HUILA,0
YALI,05885,ANTIOQUIA,YALI - ANTIOQUIA,0
YARUMAL,05887,ANTIOQUIA,YARUMAL - ANTIOQUIA,0
YAVARATE,97889,VAUPES,YAVARATE - VAUPES,0
YOLOMBO,05890,ANTIOQUIA,YOLOMBO - ANTIOQUIA,0
YONDO,05893,ANTIOQUIA,YONDO - ANTIOQUIA,0
YOPAL,85001,CASANARE,YOPAL - CASANARE,0
YOTOCO,76890,VALLE DEL CAUCA,YOTOCO - VALLE DEL CAUCA,0
YUMBO,76892,VALLE DEL CAUCA,YUMBO - VALLE DEL CAUCA,0
ZAMBRANO,13894,BOLIVAR,ZAMBRANO - BOLIVAR,0
ZAPATOCA,68895,SANTANDER,ZAPATOCA - SANTANDER,0
ZAPAYAN,47960,MAGDALENA,ZAPAYAN - MAGDALENA,0
ZARAGOZA,05895,ANTIOQUIA,ZARAGOZA - ANTIOQUIA,0
ZARZAL,76895,VALLE DEL CAUCA,ZARZAL - VALLE DEL CAUCA,0
ZETAQUIRA,15897,BOYACA,ZETAQUIRA - BOYACA,0
ZIPACON,25898,CUNDINAMARCA,ZIPACON - CUNDINAMARCA,0
ZIPAQUIRA,25899,CUNDINAMARCA,ZIPAQUIRA - CUNDINAMARCA,0
ZONA BANANERA,47980,MAGDALENA,ZONA BANANERA - MAGDALENA,0
