Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
EL CARMEN DE VIBORAL,05148,ANTIOQUIA,EL CARMEN DE VIBORAL - ANTIOQUIA,0
EL CASTILLO,50251,META,EL CASTILLO - META,0
EL CERRITO,76248,VALLE DEL CAUCA,EL CERRITO - VALLE DEL CAUCA,0
EL CHARCO,52250,NARIÑO,EL CHARCO - NARIÑO,0
EL COCUY,15244,BOYACA,EL COCUY - BOYACA,0
EL COLEGIO,25245,CUNDINAMARCA,EL COLEGIO - CUNDINAMARCA,0
EL COPEY,20238,CESAR,EL COPEY - CESAR,0
EL DONCELLO,18247,CAQUETA,EL DONCELLO - CAQUETA,0
EL DORADO,50270,META,EL DORADO - META,0
EL DOVIO,76250,VALLE DEL CAUCA,EL DOVIO - VALLE DEL CAUCA,0
EL ENCANTO,91263,AMAZONAS,EL ENCANTO - AMAZONAS,0
EL ESPINO,15248,BOYACA,EL ESPINO - BOYACA,0
EL GUACAMAYO,68245,SANTANDER,EL GUACAMAYO - SANTANDER,0
EL GUAMO,13248,BOLIVAR,EL GUAMO - BOLIVAR,0
EL LITORAL DEL SAN JUAN,27250,CHOCO,EL LITORAL DEL SAN JUAN - CHOCO,0
EL MOLINO,44110,LA GUAJIRA,EL MOLINO - LA GUAJIRA,0
EL PASO,20250,CESAR,EL PASO - CESAR,0
EL PAUJIL,18256,CAQUETA,EL PAUJIL - CAQUETA,0
EL PEÑOL,52254,NARIÑO,EL PEÑOL - NARIÑO,0
EL PEÑON,13268,BOLIVAR,EL PEÑON - BOLIVAR,1
EL PEÑON,25258,CUNDINAMARCA,EL PEÑON - CUNDINAMARCA,2
EL PEÑON,68250,SANTANDER,EL PEÑON - SANTANDER,3
EL PIÑON,47258,MAGDALENA,EL PIÑON - MAGDALENA,0
EL PLAYON,68255,SANTANDER,EL PLAYON - SANTANDER,0
EL RETEN,47268,MAGDALENA,EL RETEN - MAGDALENA,0
EL RETORNO,95025,GUAVIARE,EL RETORNO - GUAVIARE,0
EL ROBLE,70233,SUCRE,EL ROBLE - SUCRE,0
EL ROSAL,25260,CUNDINAMARCA,EL ROSAL - CUNDINAMARCA,0
EL ROSARIO,52256,NARIÑO,EL ROSARIO - NARIÑO,0
EL SANTUARIO,05697,ANTIOQUIA,EL SANTUARIO - ANTIOQUIA,0
EL TABLON DE GOMEZ,52258,NARIÑO,EL TABLON DE GOMEZ - NARIÑO,0
EL TAMBO,19256,CAUCA,EL TAMBO - CAUCA,1
EL TAMBO,52260,NARIÑO,EL TAMBO - NARIÑO,2
EL TARRA,54250,NORTE DE SANTANDER,EL TARRA - NORTE DE SANTANDER,0
EL ZULIA,54261,NORTE DE SANTANDER,EL ZULIA - NORTE DE SANTANDER,0
ELIAS,41244,HUILA,ELIAS - HUILA,0
ENCINO,68264,SANTANDER,ENCINO - SANTANDER,0
ENCISO,68266,SANTANDER,ENCISO - SANTANDER,0
ENTRERRIOS,05264,ANTIOQUIA,ENTRERRIOS - ANTIOQUIA,0
ENVIGADO,05266,ANTIOQUIA,ENVIGADO - ANTIOQUIA,0
ESPINAL,73268,TOLIMA,ESPINAL - TOLIMA,0
FACATATIVA,25269,CUNDINAMARCA,FACATATIVA - CUNDINAMARCA,0
FALAN,73270,TOLIMA,FALAN - TOLIMA,0
FILADELFIA,17272,CALDAS,FILADELFIA - CALDAS,0
FILANDIA,63272,QUINDIO,FILANDIA - QUINDIO,0
FIRAVITOBA,15272,BOYACA,FIRAVITOBA - BOYACA,0
FLANDES,73275,TOLIMA,FLANDES - TOLIMA,0
FLORENCIA,18001,CAQUETA,FLORENCIA - CAQUETA,1
FLORENCIA,19290,CAUCA,FLORENCIA - CAUCA,2
FLORESTA,15276,BOYACA,FLORESTA - BOYACA,0
FLORIAN,68271,SANTANDER,FLORIAN - SANTANDER,0
FLORIDA,76275,VALLE DEL CAUCA,FLORIDA - VALLE DEL CAUCA,0
FLORIDABLANCA,68276,SANTANDER,FLORIDABLANCA - SANTANDER,0
FOMEQUE,25279,CUNDINAMARCA,FOMEQUE - CUNDINAMARCA,0
FONSECA,44279,LA GUAJIRA,FONSECA - LA GUAJIRA,0
FORTUL,81300,ARAUCA,FORTUL - ARAUCA,0
FOSCA,25281,CUNDINAMARCA,FOSCA - CUNDINAMARCA,0
FRANCISCO PIZARRO,52520,NARIÑO,FRANCISCO PIZARRO - NARIÑO,0
FREDONIA,05282,ANTIOQUIA,FREDONIA - ANTIOQUIA,0
FRESNO,73283,TOLIMA,FRESNO - TOLIMA,0
FRONTINO,05284,ANTIOQUIA,FRONTINO - ANTIOQUIA,0
